RATE,TIME
0.01,252712688.1492
0.01,252712788.1492
0.01,252712888.1492
0.03,252712988.1492
0.05,252713088.1492
0.04,252713188.1492
0.05,252713288.1492
0.02,252713388.1492
0.04,252713488.1492
0.03,252713588.1492
0.08,252713688.1492
0.02,252713788.1492
0.12,252713888.1492
0.03,252713988.1492
0.04,252714088.1492
0.04,252714188.1492
0.03,252714288.1492
0.06,252714388.1492
0.02,252714488.1492
0.06,252714588.1492
0.01,252714688.1492
0.03,252714788.1492
0.05,252714888.1492
0.03,252714988.1492
0.01,252715088.1492
0.08,252715188.1492
0.06,252715288.1492
0.05,252715388.1492
0.04,252715488.1492
0.05,252715588.1492
0.06,252715688.1492
0.05,252715788.1492
0.04,252715888.1492
0.02,252715988.1492
0.03,252716088.1492
0.06,252716188.1492
0.06,252716288.1492
0.04,252716388.1492
0.05,252716488.1492
0.03,252716588.1492
0.03,252716688.1492
0.03,252716788.1492
0.02,252716888.1492
0.01,252716988.1492
0.03,252717088.1492
0.01,252717188.1492
0.04,252717288.1492
0.03,252717388.1492
0.09,252717488.1492
0.01,252717588.1492
0.02,252717688.1492
0.05,252717788.1492
0.03,252717888.1492
0.02,252717988.1492
0.04,252718088.1492
0.03,252718188.1492
0.03,252718288.1492
0.07,252718388.1492
0.04,252718488.1492
0.01,252718588.1492
0.02,252718688.1492
0.01,252718788.1492
0.04,252718888.1492
0.04,252718988.1492
0.03,252719088.1492
0.07,252719188.1492
0.04,252719288.1492
0.03,252719388.1492
0.03,252719488.1492
0.05,252719588.1492
0.01,252719688.1492
0.06,252719788.1492
0.03,252719888.1492
0.03,252719988.1492
0.04,252720088.1492
0.03,252720188.1492
0.02,252720288.1492
0.03,252720388.1492
0.04,252720488.1492
0.03,252720588.1492
0.02,252720688.1492
0.05,252720788.1492
0.02,252720888.1492
0.02,252720988.1492
0.04,252721088.1492
0.04,252721188.1492
0.03,252721288.1492
0.04,252721388.1492
0.03,252721488.1492
0.03,252721588.1492
0.03,252721688.1492
0.03,252721788.1492
0.02,252721888.1492
0.05,252721988.1492
0.01,252722088.1492
0.03,252722188.1492
0.06,252722288.1492
0.05,252722388.1492
0.03,252722488.1492
0.04,252722588.1492
0.01,252722688.1492
0.05,252722788.1492
0.02,252722888.1492
0.04,252722988.1492
0.02,252723088.1492
0.02,252723188.1492
0.03,252723288.1492
0.06,252723388.1492
0,252723488.1492
0.05,252723588.1492
0.03,252723688.1492
0.04,252723788.1492
0.03,252723888.1492
0,252723988.1492
0.05,252724088.1492
0.02,252724188.1492
0.02,252724288.1492
0.04,252724388.1492
0.03,252724488.1492
0.07,252724588.1492
0.03,252724688.1492
0.03,252724788.1492
0.03,252724888.1492
0.04,252724988.1492
0.02,252725088.1492
0.03,252725188.1492
0.05,252725288.1492
0.04,252725388.1492
0.01,252725488.1492
0.05,252725588.1492
0.03,252725688.1492
0.05,252725788.1492
0.03,252725888.1492
0.06,252725988.1492
0.05,252726088.1492
0.04,252726188.1492
0.06,252726288.1492
0.06,252726388.1492
0.03,252726488.1492
0.01,252726588.1492
0.07,252726688.1492
0.03,252726788.1492
0.04,252726888.1492
0.03,252726988.1492
0.05,252727088.1492
0.05,252727188.1492
0.03,252727288.1492
0.04,252727388.1492
0.06,252727488.1492
0.09,252727588.1492
0.07,252727688.1492
0.02,252727788.1492
0.06,252727888.1492
0.06,252727988.1492
0.03,252728088.1492
0.01,252728188.1492
0.05,252728288.1492
0.02,252728388.1492
0.05,252728488.1492
0.04,252728588.1492
0.04,252728688.1492
0.06,252728788.1492
0.06,252728888.1492
0.05,252728988.1492
0.07,252729088.1492
0.01,252729188.1492
0.05,252729288.1492
0.03,252729388.1492
0.05,252729488.1492
0.07,252729588.1492
0.06,252729688.1492
0,252729788.1492
0.02,252729888.1492
0.01,252729988.1492
0.06,252730088.1492
0.04,252730188.1492
0.01,252730288.1492
0.05,252730388.1492
0.03,252730488.1492
0.02,252730588.1492
0.02,252730688.1492
0.02,252730788.1492
0.02,252730888.1492
0.01,252730988.1492
0.03,252731088.1492
0.06,252731188.1492
0.02,252731288.1492
0.04,252731388.1492
0.03,252731488.1492
0.07,252731588.1492
0.03,252731688.1492
0.04,252731788.1492
0.02,252731888.1492
0.03,252731988.1492
0.07,252732088.1492
0.03,252732188.1492
0.02,252732288.1492
0.03,252732388.1492
0.06,252732488.1492
0.05,252732588.1492
0.08,252732688.1492
0.03,252732788.1492
0.06,252732888.1492
0.05,252732988.1492
0.04,252733088.1492
0.02,252733188.1492
0.05,252733288.1492
0.04,252733388.1492
0.06,252733488.1492
0.04,252733588.1492
0.02,252733688.1492
0.02,252733788.1492
0.01,252733888.1492
0.04,252733988.1492
0.03,252734088.1492
0.03,252734188.1492
0.02,252734288.1492
0.02,252734388.1492
0.05,252734488.1492
0.04,252734588.1492
0.02,252734688.1492
0.06,252734788.1492
0.04,252734888.1492
0.02,252734988.1492
0.03,252735088.1492
0.02,252735188.1492
0,252735288.1492
0.02,252735388.1492
0.04,252735488.1492
0.01,252735588.1492
0.01,252735688.1492
0.02,252735788.1492
0.06,252735888.1492
0.03,252735988.1492
0.02,252736088.1492
0.04,252736188.1492
0.07,252736288.1492
0.04,252736388.1492
0.04,252736488.1492
0.05,252736588.1492
0.04,252736688.1492
0.03,252736788.1492
0.05,252736888.1492
0.03,252736988.1492
0.04,252737088.1492
0.06,252737188.1492
0.03,252737288.1492
0,252737388.1492
0.03,252737488.1492
0.03,252737588.1492
0.01,252737688.1492
0.07,252737788.1492
0.04,252737888.1492
0.04,252737988.1492
0.07,252738088.1492
0.02,252738188.1492
0.07,252738288.1492
0.03,252738388.1492
0.06,252738488.1492
0.03,252738588.1492
0.02,252738688.1492
0.04,252738788.1492
0.04,252738888.1492
0.03,252738988.1492
0.03,252739088.1492
0.01,252739188.1492
0.02,252739288.1492
0,252739388.1492
0.04,252739488.1492
0.06,252739588.1492
0.04,252739688.1492
0.04,252739788.1492
0.04,252739888.1492
0.02,252739988.1492
0.11,252740088.1492
0.05,252740188.1492
0.06,252740288.1492
0.07,252740388.1492
0.04,252740488.1492
0.02,252740588.1492
0.03,252740688.1492
0.03,252740788.1492
0.02,252740888.1492
0.05,252740988.1492
0.07,252741088.1492
0.02,252741188.1492
0.06,252741288.1492
0.01,252741388.1492
0.05,252741488.1492
0.04,252741588.1492
0.04,252741688.1492
0.05,252741788.1492
0.05,252741888.1492
0.04,252741988.1492
0.04,252742088.1492
0.02,252742188.1492
0.02,252742288.1492
0.02,252742388.1492
0.05,252742488.1492
0.03,252742588.1492
0.04,252742688.1492
0.03,252742788.1492
0.03,252742888.1492
0.03,252742988.1492
0.1,252743088.1492
0.01,252743188.1492
0.06,252743288.1492
0.02,252743388.1492
0.02,252743488.1492
0.02,252743588.1492
0.06,252743688.1492
0.03,252743788.1492
0.01,252743888.1492
0.03,252743988.1492
0.02,252744088.1492
0.02,252744188.1492
0.02,252744288.1492
0.01,252744388.1492
0.06,252744488.1492
0.05,252744588.1492
0.08,252744688.1492
0.04,252744788.1492
0.07,252744888.1492
0.05,252744988.1492
0.06,252745088.1492
0.04,252745188.1492
0.05,252745288.1492
0,252745388.1492
0.04,252745488.1492
0.02,252745588.1492
0.04,252745688.1492
0.05,252745788.1492
0.01,252745888.1492
0.02,252745988.1492
0.03,252746088.1492
0.02,252746188.1492
0.04,252746288.1492
0.05,252746388.1492
0.04,252746488.1492
0.05,252746588.1492
0.02,252746688.1492
0.05,252746788.1492
0.03,252746888.1492
0.06,252746988.1492
0.06,252747088.1492
0,252747188.1492
0.04,252747288.1492
0.06,252747388.1492
0.05,252747488.1492
0.02,252747588.1492
0.04,252747688.1492
0.05,252747788.1492
0.05,252747888.1492
0.03,252747988.1492
0.04,252748088.1492
0.03,252748188.1492
0.03,252748288.1492
0.05,252748388.1492
0.03,252748488.1492
0.06,252748588.1492
0.03,252748688.1492
0.06,252748788.1492
0.03,252748888.1492
0.04,252748988.1492
0.03,252749088.1492
0.01,252749188.1492
0.04,252749288.1492
0.01,252749388.1492
0,252749488.1492
0.05,252749588.1492
0.06,252749688.1492
0.03,252749788.1492
0.05,252749888.1492
0.02,252749988.1492
0.09,252750088.1492
0.08,252750188.1492
0.04,252750288.1492
0.07,252750388.1492
0.03,252750488.1492
0.05,252750588.1492
0.02,252750688.1492
0.04,252750788.1492
0.02,252750888.1492
0.06,252750988.1492
0.03,252751088.1492
0.06,252751188.1492
0.02,252751288.1492
0.03,252751388.1492
0.04,252751488.1492
0.03,252751588.1492
0.03,252751688.1492
0.03,252751788.1492
0.04,252751888.1492
0.04,252751988.1492
0.04,252752088.1492
0.04,252752188.1492
0.06,252752288.1492
0.07,252752388.1492
0.05,252752488.1492
0,252752588.1492
0.03,252752688.1492
0.04,252752788.1492
0.05,252752888.1492
0.06,252752988.1492
0.03,252753088.1492
0.03,252753188.1492
0.04,252753288.1492
0,252753388.1492
0.02,252753488.1492
0.05,252753588.1492
0.02,252753688.1492
0.03,252753788.1492
0.03,252753888.1492
0.02,252753988.1492
0,252754088.1492
0.06,252754188.1492
0.01,252754288.1492
0.03,252754388.1492
0.05,252754488.1492
0.02,252754588.1492
0.04,252754688.1492
0.03,252754788.1492
0.05,252754888.1492
0,252754988.1492
0.04,252755088.1492
0.02,252755188.1492
0.03,252755288.1492
0.03,252755388.1492
0.06,252755488.1492
0.05,252755588.1492
0.03,252755688.1492
0.02,252755788.1492
0.09,252755888.1492
0.05,252755988.1492
0.03,252756088.1492
0.05,252756188.1492
0.06,252756288.1492
0.04,252756388.1492
0.01,252756488.1492
0.05,252756588.1492
0.02,252756688.1492
0.03,252756788.1492
0.06,252756888.1492
0.03,252756988.1492
0.04,252757088.1492
0.1,252757188.1492
0.02,252757288.1492
0.03,252757388.1492
0.07,252757488.1492
0.02,252757588.1492
0.04,252757688.1492
0.05,252757788.1492
0.04,252757888.1492
0.02,252757988.1492
0.05,252758088.1492
0.05,252758188.1492
0.05,252758288.1492
0.03,252758388.1492
0.06,252758488.1492
0.02,252758588.1492
0.02,252758688.1492
0.05,252758788.1492
0.03,252758888.1492
0.02,252758988.1492
0.04,252759088.1492
0.04,252759188.1492
0.03,252759288.1492
0.05,252759388.1492
0.08,252759488.1492
0.02,252759588.1492
0.07,252759688.1492
0.05,252759788.1492
0.03,252759888.1492
0.04,252759988.1492
0.03,252760088.1492
0.07,252760188.1492
0.03,252760288.1492
0.05,252760388.1492
0.03,252760488.1492
0.04,252760588.1492
0.04,252760688.1492
0.04,252760788.1492
0.04,252760888.1492
0.04,252760988.1492
0.03,252761088.1492
0.07,252761188.1492
0.01,252761288.1492
0.01,252761388.1492
0.05,252761488.1492
0.01,252761588.1492
0.07,252761688.1492
0.03,252761788.1492
0.02,252761888.1492
0.05,252761988.1492
0.07,252762088.1492
0.03,252762188.1492
0.03,252762288.1492
0.06,252762388.1492
0.03,252762488.1492
0.02,252762588.1492
0.06,252762688.1492
0.05,252762788.1492
0.05,252762888.1492
0.01,252762988.1492
0.02,252763088.1492
0.04,252763188.1492
0.03,252763288.1492
0.03,252763388.1492
0.03,252763488.1492
0.05,252763588.1492
0.01,252763688.1492
0.02,252763788.1492
0.01,252763888.1492
0.03,252763988.1492
0.03,252764088.1492
0.04,252764188.1492
0.09,252764288.1492
0.05,252764388.1492
0.03,252764488.1492
0.06,252764588.1492
0.04,252764688.1492
0.07,252764788.1492
0.05,252764888.1492
0.05,252764988.1492
0.04,252765088.1492
0.02,252765188.1492
0.05,252765288.1492
0.05,252765388.1492
0.04,252765488.1492
0.05,252765588.1492
0.02,252765688.1492
0.04,252765788.1492
0.02,252765888.1492
0.05,252765988.1492
0.04,252766088.1492
0,252766188.1492
0.07,252766288.1492
0.03,252766388.1492
0.06,252766488.1492
0.02,252766588.1492
0.06,252766688.1492
0.04,252766788.1492
0.09,252766888.1492
0.04,252766988.1492
0.04,252767088.1492
0.1,252767188.1492
0.01,252767288.1492
0.03,252767388.1492
0.08,252767488.1492
0.03,252767588.1492
0.05,252767688.1492
0.02,252767788.1492
0,252767888.1492
0.05,252767988.1492
0.07,252768088.1492
0.03,252768188.1492
0.07,252768288.1492
0.02,252768388.1492
0.04,252768488.1492
0.04,252768588.1492
0.02,252768688.1492
0.06,252768788.1492
0.02,252768888.1492
0.04,252768988.1492
0.04,252769088.1492
0.01,252769188.1492
0.02,252769288.1492
0.02,252769388.1492
0.01,252769488.1492
0.04,252769588.1492
0.03,252769688.1492
0.03,252769788.1492
0.02,252769888.1492
0.02,252769988.1492
0.02,252770088.1492
0.03,252770188.1492
0.03,252770288.1492
0.05,252770388.1492
0.02,252770488.1492
0.02,252770588.1492
0.04,252770688.1492
0.07,252770788.1492
0.03,252770888.1492
0.04,252770988.1492
0.03,252771088.1492
0.05,252771188.1492
0.04,252771288.1492
0.02,252771388.1492
0.04,252771488.1492
0,252771588.1492
0.03,252771688.1492
0.01,252771788.1492
0.02,252771888.1492
0.08,252771988.1492
0.04,252772088.1492
0.09,252772188.1492
0.08,252772288.1492
0.02,252772388.1492
0.03,252772488.1492
0.04,252772588.1492
0.06,252772688.1492
0.04,252772788.1492
0.06,252772888.1492
0.06,252772988.1492
0.04,252773088.1492
0.04,252773188.1492
0.02,252773288.1492
0.02,252773388.1492
0.06,252773488.1492
0.04,252773588.1492
0.07,252773688.1492
0.05,252773788.1492
0.03,252773888.1492
0.06,252773988.1492
0.04,252774088.1492
0,252774188.1492
0.05,252774288.1492
0.06,252774388.1492
0.01,252774488.1492
0.03,252774588.1492
0.03,252774688.1492
0.03,252774788.1492
0.02,252774888.1492
0.07,252774988.1492
0.03,252775088.1492
0.08,252775188.1492
0.04,252775288.1492
0.03,252775388.1492
0.02,252775488.1492
0.04,252775588.1492
0.03,252775688.1492
0.02,252775788.1492
0.01,252775888.1492
0.04,252775988.1492
0.05,252776088.1492
0.06,252776188.1492
0.03,252776288.1492
0.03,252776388.1492
0.04,252776488.1492
0.02,252776588.1492
0.04,252776688.1492
0,252776788.1492
0.05,252776888.1492
0.06,252776988.1492
0.08,252777088.1492
0.03,252777188.1492
0.03,252777288.1492
0.07,252777388.1492
0.04,252777488.1492
0.05,252777588.1492
0.01,252777688.1492
0.02,252777788.1492
0.05,252777888.1492
0.04,252777988.1492
0.03,252778088.1492
0.04,252778188.1492
0,252778288.1492
0.03,252778388.1492
0.03,252778488.1492
0.02,252778588.1492
0.05,252778688.1492
0,252778788.1492
0.07,252778888.1492
0.02,252778988.1492
0.05,252779088.1492
0.06,252779188.1492
0.02,252779288.1492
0.08,252779388.1492
0.06,252779488.1492
0.07,252779588.1492
0,252779688.1492
0.01,252779788.1492
0.07,252779888.1492
0.02,252779988.1492
0.02,252780088.1492
0.07,252780188.1492
0.05,252780288.1492
0.07,252780388.1492
0.04,252780488.1492
0.08,252780588.1492
0.02,252780688.1492
0.04,252780788.1492
0.05,252780888.1492
0.03,252780988.1492
0.03,252781088.1492
0.05,252781188.1492
0.07,252781288.1492
0.08,252781388.1492
0.02,252781488.1492
0.02,252781588.1492
0,252781688.1492
0.01,252781788.1492
0.05,252781888.1492
0.05,252781988.1492
0.06,252782088.1492
0.05,252782188.1492
0.05,252782288.1492
0.01,252782388.1492
0.05,252782488.1492
0.05,252782588.1492
0.06,252782688.1492
0.02,252782788.1492
0.06,252782888.1492
0.02,252782988.1492
0.02,252783088.1492
0.04,252783188.1492
0.03,252783288.1492
0.02,252783388.1492
0.05,252783488.1492
0.02,252783588.1492
0.03,252783688.1492
0.02,252783788.1492
0.06,252783888.1492
0.05,252783988.1492
0.05,252784088.1492
0.03,252784188.1492
0.06,252784288.1492
0.02,252784388.1492
0.04,252784488.1492
0.02,252784588.1492
0.04,252784688.1492
0.03,252784788.1492
0.09,252784888.1492
0.03,252784988.1492
0.05,252785088.1492
0.03,252785188.1492
0.02,252785288.1492
0.06,252785388.1492
0.06,252785488.1492
0.03,252785588.1492
0.01,252785688.1492
0.04,252785788.1492
0.03,252785888.1492
0.05,252785988.1492
0.02,252786088.1492
0.05,252786188.1492
0.06,252786288.1492
0.05,252786388.1492
0,252786488.1492
0.03,252786588.1492
0.01,252786688.1492
0.03,252786788.1492
0.03,252786888.1492
0.02,252786988.1492
0.01,252787088.1492
0.02,252787188.1492
0.04,252787288.1492
0.06,252787388.1492
0.03,252787488.1492
0.02,252787588.1492
0.05,252787688.1492
0.02,252787788.1492
0.04,252787888.1492
0.07,252787988.1492
0.03,252788088.1492
0.06,252788188.1492
0.03,252788288.1492
0.02,252788388.1492
0.05,252788488.1492
0.02,252788588.1492
0.04,252788688.1492
0.04,252788788.1492
0.02,252788888.1492
0.06,252788988.1492
0.06,252789088.1492
0.01,252789188.1492
0.01,252789288.1492
0.02,252789388.1492
0.02,252789488.1492
0.04,252789588.1492
0.08,252789688.1492
0.02,252789788.1492
0.05,252789888.1492
0.05,252789988.1492
0.01,252790088.1492
0.03,252790188.1492
0.02,252790288.1492
0.06,252790388.1492
0.01,252790488.1492
0.01,252790588.1492
0.08,252790688.1492
0.03,252790788.1492
0.02,252790888.1492
0.03,252790988.1492
0.04,252791088.1492
0.02,252791188.1492
0.05,252791288.1492
0.02,252791388.1492
0.02,252791488.1492
0.01,252791588.1492
0.03,252791688.1492
0.03,252791788.1492
0.05,252791888.1492
0.04,252791988.1492
0.05,252792088.1492
0.06,252792188.1492
0.04,252792288.1492
0.04,252792388.1492
0.01,252792488.1492
0.03,252792588.1492
0.02,252792688.1492
0,252792788.1492
0.01,252792888.1492
0.04,252792988.1492
0.01,252793088.1492
0.06,252793188.1492
0.02,252793288.1492
0.01,252793388.1492
0.01,252793488.1492
0.07,252793588.1492
0.05,252793688.1492
0.06,252793788.1492
0.04,252793888.1492
0.05,252793988.1492
0.02,252794088.1492
0.02,252794188.1492
0.01,252794288.1492
0.04,252794388.1492
0.06,252794488.1492
0.03,252794588.1492
0.07,252794688.1492
0,252794788.1492
0.03,252794888.1492
0.01,252794988.1492
0.03,252795088.1492
0.05,252795188.1492
0.03,252795288.1492
0.04,252795388.1492
0.02,252795488.1492
0.05,252795588.1492
0.07,252795688.1492
0.02,252795788.1492
0.04,252795888.1492
0.05,252795988.1492
0.03,252796088.1492
0.04,252796188.1492
0.07,252796288.1492
0.06,252796388.1492
0.05,252796488.1492
0,252796588.1492
0,252796688.1492
0.03,252796788.1492
0.05,252796888.1492
0.03,252796988.1492
0.03,252797088.1492
0.02,252797188.1492
0.04,252797288.1492
0.02,252797388.1492
0.04,252797488.1492
0.02,252797588.1492
0.01,252797688.1492
0.03,252797788.1492
0.05,252797888.1492
0.01,252797988.1492
0,252798088.1492
0.02,252798188.1492
0.05,252798288.1492
0.09,252798388.1492
0.03,252798488.1492
0.03,252798588.1492
0.03,252798688.1492
0.05,252798788.1492
0.06,252798888.1492
0.04,252798988.1492
0.02,252799088.1492
0.03,252799188.1492
0.01,252799288.1492
0.04,252799388.1492
0.03,252799488.1492
0.04,252799588.1492
0.03,252799688.1492
0.01,252799788.1492
0.01,252799888.1492
0.05,252799988.1492
0.07,252800088.1492
0.01,252800188.1492
0.03,252800288.1492
0.04,252800388.1492
0.02,252800488.1492
0.09,252800588.1492
0.02,252800688.1492
0,252800788.1492
0.03,252800888.1492
0.01,252800988.1492
0.04,252801088.1492
0.02,252801188.1492
0.04,252801288.1492
0.02,252801388.1492
0.02,252801488.1492
0.01,252801588.1492
0.08,252801688.1492
0.02,252801788.1492
0.02,252801888.1492
0.05,252801988.1492
0.02,252802088.1492
0.03,252802188.1492
0.01,252802288.1492
0.07,252802388.1492
0.02,252802488.1492
0.03,252802588.1492
0.04,252802688.1492
0.07,252802788.1492
0.02,252802888.1492
0.04,252802988.1492
0.03,252803088.1492
0.04,252803188.1492
0.04,252803288.1492
0.06,252803388.1492
0.05,252803488.1492
0.03,252803588.1492
0.04,252803688.1492
0.04,252803788.1492
0.03,252803888.1492
0.05,252803988.1492
0.06,252804088.1492
0.03,252804188.1492
0.03,252804288.1492
0.03,252804388.1492
0.02,252804488.1492
0.05,252804588.1492
0.03,252804688.1492
0.06,252804788.1492
0.04,252804888.1492
0.06,252804988.1492
0.04,252805088.1492
0.08,252805188.1492
0.09,252805288.1492
0.04,252805388.1492
0.03,252805488.1492
0.03,252805588.1492
0.04,252805688.1492
0.02,252805788.1492
0.08,252805888.1492
0.02,252805988.1492
0.08,252806088.1492
0.02,252806188.1492
0.03,252806288.1492
0.06,252806388.1492
0.04,252806488.1492
0.02,252806588.1492
0.03,252806688.1492
0.06,252806788.1492
0.03,252806888.1492
0.03,252806988.1492
0.05,252807088.1492
0.03,252807188.1492
0.03,252807288.1492
0.01,252807388.1492
0.01,252807488.1492
0.02,252807588.1492
0.05,252807688.1492
0.04,252807788.1492
0.03,252807888.1492
0.04,252807988.1492
0.04,252808088.1492
0.02,252808188.1492
0.08,252808288.1492
0.03,252808388.1492
0.01,252808488.1492
0.03,252808588.1492
0.03,252808688.1492
0.08,252808788.1492
0.08,252808888.1492
0.06,252808988.1492
0.04,252809088.1492
0.01,252809188.1492
0.04,252809288.1492
0.06,252809388.1492
0.02,252809488.1492
0.04,252809588.1492
0.04,252809688.1492
0.01,252809788.1492
0.04,252809888.1492
0,252809988.1492
0.03,252810088.1492
0.04,252810188.1492
0.05,252810288.1492
0.04,252810388.1492
0.01,252810488.1492
0.06,252810588.1492
0.04,252810688.1492
0.02,252810788.1492
0.06,252810888.1492
0.04,252810988.1492
0.05,252811088.1492
0.04,252811188.1492
0.07,252811288.1492
0.07,252811388.1492
0.05,252811488.1492
0.03,252811588.1492
0.02,252811688.1492
0.08,252811788.1492
0.03,252811888.1492
0.03,252811988.1492
0.02,252812088.1492
0.05,252812188.1492
0.03,252812288.1492
0.05,252812388.1492
0.03,252812488.1492
0.03,252812588.1492
0.03,252812688.1492
0.07,252812788.1492
0.06,252812888.1492
0.04,252812988.1492
0.02,252813088.1492
0.02,252813188.1492
0.05,252813288.1492
0.06,252813388.1492
0.07,252813488.1492
0.02,252813588.1492
0.06,252813688.1492
0.06,252813788.1492
0.02,252813888.1492
0.06,252813988.1492
0.06,252814088.1492
0.03,252814188.1492
0.05,252814288.1492
0.03,252814388.1492
0.01,252814488.1492
0.03,252814588.1492
0.03,252814688.1492
0.07,252814788.1492
0.02,252814888.1492
0.01,252814988.1492
0.03,252815088.1492
0.06,252815188.1492
0.02,252815288.1492
0.05,252815388.1492
0.04,252815488.1492
0.05,252815588.1492
0.05,252815688.1492
0.02,252815788.1492
0.02,252815888.1492
0.04,252815988.1492
0.03,252816088.1492
0.07,252816188.1492
0.04,252816288.1492
0.05,252816388.1492
0.03,252816488.1492
0.03,252816588.1492
0.02,252816688.1492
0.01,252816788.1492
0.01,252816888.1492
0.05,252816988.1492
0.02,252817088.1492
0.06,252817188.1492
0.08,252817288.1492
0.04,252817388.1492
0.03,252817488.1492
0.03,252817588.1492
0.04,252817688.1492
0.07,252817788.1492
0.02,252817888.1492
0.02,252817988.1492
0.05,252818088.1492
0.03,252818188.1492
0.02,252818288.1492
0.03,252818388.1492
0.01,252818488.1492
0.04,252818588.1492
0.09,252818688.1492
0.03,252818788.1492
0.03,252818888.1492
0.03,252818988.1492
0.05,252819088.1492
0.06,252819188.1492
0.04,252819288.1492
0.05,252819388.1492
0.04,252819488.1492
0.05,252819588.1492
0.05,252819688.1492
0.02,252819788.1492
0.04,252819888.1492
0.02,252819988.1492
0.04,252820088.1492
0.03,252820188.1492
0.04,252820288.1492
0.05,252820388.1492
0.09,252820488.1492
0.03,252820588.1492
0.07,252820688.1492
0.05,252820788.1492
0.05,252820888.1492
0.03,252820988.1492
0.05,252821088.1492
0.03,252821188.1492
0.03,252821288.1492
0.06,252821388.1492
0.1,252821488.1492
0.1,252821588.1492
0.07,252821688.1492
0.04,252821788.1492
0.03,252821888.1492
0.03,252821988.1492
0.05,252822088.1492
0.03,252822188.1492
0.04,252822288.1492
0.14,252822388.1492
0.04,252822488.1492
0.12,252822588.1492
0.1,252822688.1492
0.07,252822788.1492
0.04,252822888.1492
